"CO_ISIC4";"NO_ISIC4";"CO_ISIC4_GRUPO";"NO_ISIC4_GRUPO";"CO_ISIC4_SECAO";"NO_ISIC4_SECAO"
"01";"AGRICULTURA E PECUÁRIA";"01A03";"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA";"A";"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"02";"PRODUÇÃO FLORESTAL";"01A03";"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA";"A";"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"03";"PESCA E AQÜICULTURA";"01A03";"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA";"A";"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"05";"EXTRAÇÃO DE CARVÃO MINERAL";"05A08";"INDÚSTRIAS EXTRATIVAS";"B";"INDÚSTRIAS EXTRATIVAS"
"06";"EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL";"05A08";"INDÚSTRIAS EXTRATIVAS";"B";"INDÚSTRIAS EXTRATIVAS"
"07";"EXTRAÇÃO DE MINERAIS METÁLICOS";"05A08";"INDÚSTRIAS EXTRATIVAS";"B";"INDÚSTRIAS EXTRATIVAS"
"08";"EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS";"05A08";"INDÚSTRIAS EXTRATIVAS";"B";"INDÚSTRIAS EXTRATIVAS"
"10";"PRODUTOS ALIMENTÍCIOS";"10A12";"ALIMENTOS, BEBIDAS, E TABACO";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"11";"BEBIDAS";"10A12";"ALIMENTOS, BEBIDAS, E TABACO";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"12";"PRODUTOS DO FUMO";"10A12";"ALIMENTOS, BEBIDAS, E TABACO";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"13";"PRODUTOS TÊXTEIS";"13A15";"TEXTEIS, COUROS E CALÇADOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"14";"ARTIGOS DO VESTUÁRIO E ACESSÓRIOS";"13A15";"TEXTEIS, COUROS E CALÇADOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"15";"COUROS, ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS";"13A15";"TEXTEIS, COUROS E CALÇADOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"16";"MADEIRA E SEUS PRODUTOS";"16";"MADEIRA E SEUS PRODUTOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"17";"CELULOSE, PAPEL E PRODUTOS DE PAPEL";"17A18";"CELULOSE, PAPEL, E IMPRESSÃO";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"18";"IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES";"17A18";"CELULOSE, PAPEL, E IMPRESSÃO";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"19";"COQUE, PRODUTOS DERIVADOS DO PETRÓLEO E BIOCOMBUSTÍVEIS";"19";"COQUE, PRODUTOS DERIVADOS DO PETRÓLEO E BIOCOMBUSTÍVEIS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"20";"PRODUTOS QUÍMICOS";"20";"PRODUTOS QUÍMICOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"21";"PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS";"21";"PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"22";"PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO";"22";"PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"23";"PRODUTOS MINERAIS NÃO-METÁLICOS";"23";"PRODUTOS MINERAIS NÃO-METÁLICOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"24";"METALURGIA";"24A25";"METALURGIA E PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"25";"PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS";"24A25";"METALURGIA E PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"26";"EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS";"26";"EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"27";"MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS";"27";"MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"28";"MÁQUINAS E EQUIPAMENTOS N.C.O.I";"28";"MÁQUINAS E EQUIPAMENTOS N.C.O.I";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"29";"VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"29";"VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"301";"EMBARCAÇÕES NAVAIS";"301";"EMBARCAÇÕES NAVAIS";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"302E309";"VEÍCULOS FERROVIÁRIOS E EQUIPAMENTOS DE TRANSPORTE N.C.O.I ";"302E309";"VEÍCULOS FERROVIÁRIOS E EQUIPAMENTOS DE TRANSPORTE N.C.O.I";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"303";"AERONAVES";"303";"AERONAVES";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"304";"VEÍCULOS MILITARES DE COMBATE";"304";"VEÍCULOS MILITARES DE COMBATE";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"31";"MÓVEIS";"31A32";"MÓVEIS E OUTRAS MANUFATURAS N.C.O.I";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"32";" OUTRAS MANUFATURAS N.C.O.I";"31A32";"MÓVEIS E OUTRAS MANUFATURAS N.C.O.I";"C";"INDÚSTRIAS DE TRANSFORMAÇÃO"
"35";"ELETRICIDADE E GÁS ";"35";"ELETRICIDADE E GÁS ";"D";"ELETRICIDADE E GÁS "
"38";"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";"36A99";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS";"V";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS"
"58";"PRODUTOS DE EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO";"36A99";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS";"V";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS"
"59";"PRODUTOS DE ATIVIDADES CINEMATOGRÁFICAS, DE PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";"36A99";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS";"V";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS"
"83";"DESPERDICIOS";"36A99";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS";"V";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS"
"89";"NÃO ALOCADOS";"36A99";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS";"V";"PRODUTOS DE OUTRAS ATIVIDADES, DESPERDÍCIOS E NÃO ALOCADOS"
